CAS,Tc,Pc,Vc,Zc,SMILES,Chemical,omega,Tc_error,Pc_error,Vc_error,ID,name,Tt,Pt,Tb,MW,Reference,Tm,Hfs,Hfl,Hfg,S0s,S0l,S0g,Hsub,Hfus,Hvap,AntoineTmin,AntoineTmax,AntoineA,AntoineB,AntoineC
675-62-7,561.7,2525000.0,0.000488,0.2638411890397846,C[Si](Cl)(Cl)CCC(F)(F)F,,,,,,,,,,,,,,,,,,,,,,,,,,,
2897-60-1,698.7,1598000.0,0.000865,0.2379402722268626,CCO[Si](C)(CCCOCC1CO1)OCC,,,,,,,,,,,,,,,,,,,,,,,,,,,
7351-61-3,708.1,2113000.0,0.000664,0.2383080960885552,CC(=C)C(=O)OCCC[Si](Cl)(Cl)Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530-83-8,701.4,1812000.0,0.000732,0.2274412993598391,CO[Si](CCCOCC1CO1)(OC)OC,,,,,,,,,,,,,,,,,,,,,,,,,,,
14814-09-6,647.5,1863000.0,0.000736,0.2546928255123159,CCO[Si](CCCS)(OCC)OCC,,,,,,,,,,,,,,,,,,,,,,,,,,,
51526-06-8,780.9,1917000.0,0.000799,0.2359061615941961,CCC1=CC=C(C=C1)CCC2=CC=C(C=C2)CC,,,,,,,,,,,,,,,,,,,,,,,,,,,
7439-15-8,771.0,2170000.0,0.000704,0.2383108577842694,CCC1=CC=C(C=C1)CCC2=CC=CC=C2,,,,,,,,,,,,,,,,,,,,,,,,,,,
138495-42-8,454.2,2288000.0,0.00043,0.2605212544809238,FC(C(F)C(F)(F)C(F)(F)F)C(F)(F)F,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814-88-6,380.11,3137000.0,0.0002732,0.2711763016140049,CC(F)(F)C(F)(F)F,,,,,,,,,,,,,,,,,,,,,,,,,,,
431-89-0,374.83,2912000.0,0.000274,0.2560197124571955,FC(C(F)(F)F)C(F)(F)F,,,,,,,,,,,,,,,,,,,,,,,,,,,
431-63-0,412.38,3412000.0,0.00027,0.2686835063765482,FC(F)C(F)C(F)(F)F,,,,,,,,,,,,,,,,,,,,,,,,,,,
76-11-9,552.0,3340000.0,0.000351,0.2554349505630244,FC(F)(Cl)C(Cl)(Cl)Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,
630-20-6,624.0,4020000.0,0.000325,0.2518202433707077,ClCC(Cl)(Cl)Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,
811-97-2,374.18,4056000.0,0.0001988,0.2591788572456983,FCC(F)(F)F,,,,,,,,,,,,,,,,,,,,,,,,,,,
690-39-1,398.07,3219000.0,0.000266,0.258707476310082,FC(F)(F)CC(F)(F)F,,,,,,,,,,,,,,,,,,,,,,,,,,,
23153-23-3,670.9,3296000.0,0.000435,0.2570303946431046,ClC(Cl)CC(Cl)(Cl)Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-58-6,473.7,3392000.0,0.00031,0.2669807616097261,CC(F)(F)CC(F)(F)F,,,,,,,,,,,,,,,,,,,,,,,,,,,
460-73-1,427.2,3640000.0,0.000259,0.2654212674159185,FC(F)CC(F)(F)F,,,,,,,,,,,,,,,,,,,,,,,,,,,
71-55-6,545.0,4300000.0,0.000281,0.2666515350424328,CC(Cl)(Cl)Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,
2366-36-1,565.0,3990000.0,0.000294,0.2497109536396817,FCC(Cl)(Cl)Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,
354-58-5,483.0,3320000.0,0.000321,0.2653760956855777,FC(F)(F)C(Cl)(Cl)Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,
420-46-2,345.88,3764000.0,0.000195,0.2552258099753095,CC(F)(F)F,,,,,,,,,,,,,,,,,,,,,,,,,,,
679-86-7,447.57,3925000.0,0.000256,0.270012874738993,FCC(F)(F)C(F)F,,,,,,,,,,,,,,,,,,,,,,,,,,,
76-12-0,551.0,3340000.0,0.000351,0.2558985348653166,FC(Cl)(Cl)C(F)(Cl)Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,
79-34-5,645.0,4090000.0,0.000325,0.2478636092101451,ClC(Cl)C(Cl)Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,
359-35-3,391.8,4640000.0,0.000191,0.2720525062099682,FC(F)C(F)F,,,,,,,,,,,,,,,,,,,,,,,,,,,
632-50-8,827.0,1670000.0,0.001022,0.2482147995714899,c1ccc(cc1)C(C(c2ccccc2)c3ccccc3)c4ccccc4,,,,,,,,,,,,,,,,,,,,,,,,,,,
79-00-5,602.0,4480000.0,0.000281,0.2515090736149285,ClCC(Cl)Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,
